FECHA,HORA,NUM,DESCRIPCION,SP,ING_1,PESO_1,ING_2,PESO_2,ING_3,PESO_3,ING_4,PESO_4,ING_5,PESO_5,ING_6,PESO_6,ING_7,PESO_7,ING_8,PESO_8,ING_9,PESO_9,ING_10,PESO_10,TOTAL
04/09/20,16:06, 1,Gordo     ,   0,Lote 2          , 250,Lote 3          , 100,Lote 4          , 250,Lote 5          , 220,Lote 6          , 130,Lote 18         , 220,Lote 19         , 380,Lote 20         , 110,Lote 21         ,  80,Lote 22         , 130,1870
05/09/20,08:31, 1,Gordo     ,   0,Lote 1          , 180,Lote 2          , 200,Lote 3          ,  90,Lote 4          , 210,Lote 5          , 220,Lote 6          , 180,Lote 18         , 230,Lote 19         , 340,Lote 20         , 130,Lote 21         ,  80,1860
05/09/20,09:31, 1,Gordo     ,5000,CascaraMani     , 500,Agua            , 210,Maiz            ,3800,Concentrado     , 510,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,5020
05/09/20,15:03, 1,Gordo     ,   0,Lote 1          , 130,Lote 2          , 190,Lote 3          , 100,Lote 4          , 190,Lote 5          , 230,Lote 6          , 180,Lote 18         , 250,Lote 19         , 360,Lote 20         , 120,Lote 21         ,  80,1830
06/09/20,08:51, 1,Gordo     ,   0,Lote 1          , 160,Lote 2          , 180,Lote 3          , 120,Lote 4          , 200,Lote 5          , 230,Lote 6          , 160,Lote 18         , 220,Lote 19         , 370,Lote 20         , 110,Lote 21         , 120,1870
06/09/20,14:47, 1,Gordo     ,   0,Lote 1          , 130,Lote 2          , 190,Lote 3          ,  90,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0, 410
06/09/20,15:07, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4560,Concentrado     , 630,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6040
06/09/20,16:20, 1,Gordo     ,   0,Lote 4          , 210,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0, 210
06/09/20,16:24, 1,Gordo     ,   0,Lote 5          , 230,Lote 6          , 140,Lote 18         , 250,Lote 19         , 340,Lote 20         , 100,Lote 21         ,  80,Lote 22         , 110,Lote 23         , 210,Lote 24         ,  80,Lote 25         , 240,1780
07/09/20,08:21, 1,Gordo     ,   0,Lote 1          , 130,Lote 3          , 110,Lote 4          , 180,Lote 6          , 150,Lote 18         , 220,Lote 19         , 320,Lote 20         , 120,Lote 21         ,  70,Lote 23         , 220,Lote 25         , 220,1740
07/09/20,15:26, 1,Gordo     ,   0,Lote 1          , 190,Lote 3          , 110,Lote 4          , 180,Lote 5          , 210,Lote 6          , 140,Lote 18         , 220,Lote 19         , 290,Lote 20         , 110,Lote 21         ,  90,Lote 22         , 130,1670
08/09/20,08:14, 1,Gordo     ,   0,Lote 1          , 150,Lote 3          , 120,Lote 4          , 210,Lote 5          , 280,Lote 6          , 140,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0, 900
08/09/20,08:35, 1,Gordo     ,6000,CascaraMani     , 610,Agua            , 250,Maiz            ,4570,Concentrado     , 620,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6050
08/09/20,09:28, 1,Gordo     ,   0,Lote 18         , 270,Lote 19         , 340,Lote 20         , 130,Lote 21         , 100,Lote 22         , 140,Lote 23         , 270,Lote 24         , 150,Lote 25         , 130,Lote            ,   0,Lote            ,   0,1530
08/09/20,16:55, 1,Gordo     ,   0,Lote 1          , 140,Lote 3          , 170,Lote 4          , 190,Lote 5          , 240,Lote 6          , 120,Lote 19         , 310,Lote 20         , 110,Lote 21         , 190,Lote 22         , 110,Lote            ,   0,1580
09/09/20,08:15, 1,Gordo     ,   0,Lote 1          , 300,Lote 3          , 190,Lote 4          , 240,Lote 5          , 220,Lote 6          , 150,Lote 18         , 240,Lote 19         , 360,Lote 20         , 170,Lote 21         , 290,Lote 22         , 200,2360
